Fa16,Sp17,Fa17,Sp18
lab24/CountingRooms,old01/SoloLearn,lab01/BuildingJava,lab01/BuildingJava
old05/CommandLine,lab02/Checkstyle,lab03/UnixTutorial,lab02/Checkstyle
lab02/Checkstyle,lab03/UnixTutorial,lab04/ConcatTypes,lab03/UnixTutorial
lab04/ConcatTypes,lab04/ConcatTypes,lab02/Checkstyle,lab04/ConcatTypes
lab06/CelsiusFahren,lab06/CelsiusFahren,lab06/CelsiusFahren,lab05/DiffTesting
lab05/DiffTesting,lab05/DiffTesting,lab05/DiffTesting,lab06/CelsiusFahren
old09/MethodIntro,old09/MethodIntro,lab10/WebCAT,lab07/DrawMethods
lab16/BottlesOfPop,lab16/BottlesOfPop,lab09/CodingBat,lab08/JUnitTest
lab08/JUnitTest,lab08/JUnitTest,lab07/DrawMethods,lab09/CodingBat
lab10/WebCAT,lab10/WebCAT,lab08/JUnitTest,lab10/WebCAT
lab09/CodingBat,lab09/CodingBat,lab11/Loopy8Ball,lab11/Loopy8Ball
lab15/Recursive,lab15/Recursive,lab12/NestedLoops,lab12/NestedLoops
lab11/Loopy8Ball,lab11/Loopy8Ball,lab13/ArrayPlay,lab13/ArrayPlay
lab12/NestedLoops,lab12/NestedLoops,lab14/StdDev,lab14/StdDev
lab13/ArrayPlay,lab13/ArrayPlay,lab16/BottlesOfPop,lab15/Recursive
lab14/StdDev,lab14/StdDev,lab15/Recursive,lab16/BottlesOfPop
lab17/Eclipse,lab17/Eclipse,lab17/Eclipse,lab17/Eclipse
lab18/FinalBat,lab18/FinalBat,lab18/FinalBat,lab18/FinalBat
lab19/Colors,lab19/Colors,lab19/Colors,lab19/Colors
lab20/Greenfoot,lab20/Greenfoot,lab20/Greenfoot,lab20/Greenfoot
lab21/CarObjects,lab21/CarObjects,lab21/CarObjects,lab21/CarObjects
lab23/MediaComp,lab22/Aliens,lab22/Aliens,lab22/Aliens
lab22/Aliens,old23/ArrayList,lab23/MediaComp,lab23/MediaComp
lab25/Practice,lab23/MediaComp,lab25/Practice,lab24/CountingRooms
N/A,lab25/Practice,N/A,lab25/Practice
